Country,Forecast,GDP,Area,Value
United States,26854599,23315081.0,9833517.0,229269.24536987703
People's Republic of China,19373586,17734131.0,9596961.0,170193.763575891
Russia,2062649,1778782.0,17098246.0,30414.052216372
Canada,2089672,1988336.0,9984670.0,19852.87880912
Brazil,2081235,1608981.0,8515767.0,13701.707303427002
Australia,1707548,1734532.0,7692024.0,13342.061772768
India,3736882,3201471.0,3287263.0,10524.077163873
Mexico,1663164,1272839.0,1964375.0,2500.3331106250002
Indonesia,1391778,1186093.0,1904569.0,2258.9959589170003
France,2923489,2957880.0,640679.0,1895.0516005200002
Japan,4409738,4940878.0,377976.0,1867.533302928
Saudi Arabia,1061902,833541.0,2149690.0,1791.85475229
Germany,4308854,4259935.0,357600.0,1523.352756
Argentina,641102,487227.0,2780400.0,1354.6859508
Iran,367970,594892.0,1648195.0,980.4980199400001
United Kingdom,3158938,3131378.0,242495.0,759.34350811
Spain,1492432,1427381.0,505992.0,722.2433669520001
Turkey,1029303,819034.0,783562.0,641.7639191080001
Italy,2169745,2107703.0,301339.0,635.133114317
Kazakhstan,245695,193018.0,2724900.0,525.9547482
South Africa,399015,419016.0,1221037.0,511.634039592
Egypt,378110,425906.0,1002450.0,426.9494697
Nigeria,506601,430923.0,923768.0,398.072877864
Algeria,206007,163473.0,2381741.0,389.350346493
Colombia,334689,314464.0,1141748.0,359.038643072
Pakistan,341500,342501.0,881913.0,302.056084413
Peru,268235,223252.0,1285216.0,286.927042432
Sweden,599052,635664.0,447425.0,284.4119652
Thailand,574231,505982.0,513120.0,259.62948384000003
Chile,358557,317059.0,756102.0,239.72894401800002
Poland,748887,679442.0,312696.0,212.458795632
Norway,554105,482175.0,385207.0,185.73718522500002
South Korea,1721909,1810966.0,100210.0,181.47690286000002
Democratic Republic of Congo,69474,52850.0,2344858.0,123.9257453
Malaysia,447026,372702.0,330803.0,123.290939706
Vietnam,449094,366138.0,331212.0,121.26929925600001
Ukraine,148712,200086.0,603550.0,120.76190530000001
Philippines,440901,394086.0,300000.0,118.2258
Ethiopia,156083,99269.0,1104300.0,109.62275670000001
Venezuela,96628,111813.0,916445.0,102.470464785
Finland,301670,297302.0,338425.0,100.61442935000001
Iraq,267893,204004.0,438317.0,89.418421268
Angola,117877,70533.0,1246700.0,87.93349110000001
Libya,46297,39006.0,1759540.0,68.63261724
New Zealand,251969,250451.0,270467.0,67.738730617
Romania,348902,284086.0,238397.0,67.72525014200001
Sudan,46705,35867.0,1861484.0,66.765846628
Tanzania,85421,70297.0,945087.0,66.43678083900001
Kenya,118130,110347.0,580367.0,64.04175734900001
Morocco,138781,142867.0,446550.0,63.797258850000006
Bangladesh,420516,414907.0,148460.0,61.597093220000005
Bolivia,46097,40408.0,1098581.0,44.391461048000004
Netherlands,1080880,1012847.0,41850.0,42.387646950000004
Austria,515199,480368.0,83871.0,40.288944528
Myanmar,63988,58582.0,676578.0,39.635292396000004
Ireland,594095,504183.0,70273.0,35.430451959
United Arab Emirates,498978,405468.0,83600.0,33.8971248
Switzerland,869601,812867.0,41277.0,33.552711159000005
Uzbekistan,92332,69239.0,447400.0,30.977528600000003
Ecuador,121291,106166.0,276841.0,29.391101606000003
Taiwan,790728,790728.0,36193.0,28.618818504
Greece,239300,214874.0,131957.0,28.354128418000002
Oman,104902,88192.0,309500.0,27.295424
Turkmenistan,82649,53954.0,488100.0,26.3349474
Mali,20776,19157.0,1240192.0,23.758358144000002
Mongolia,16908,15098.0,1564110.0,23.61493278
Portugal,267721,253663.0,92226.0,23.394323838000002
Côte d'Ivoire,77047,69765.0,322463.0,22.496631195000003
Czech Republic,330483,281778.0,78871.0,22.224112638
Cameroon,48625,45368.0,475442.0,21.569852656000002
Chad,11962,16410.0,1284000.0,21.07044
Niger,16617,14915.0,1267000.0,18.897305000000003
Ghana,66622,79083.0,238533.0,18.863905239
Belgium,624248,594104.0,30528.0,18.136806912
Denmark,405626,398303.0,43094.0,17.164469482
Hungary,188505,181848.0,93028.0,16.916955744000003
Paraguay,42820,40458.0,406752.0,16.456372416
Zambia,29272,21313.0,752612.0,16.040419556
Belarus,73543,68206.0,207600.0,14.1595656
Cuba,—,126694.0,109884.0,13.921643496000002
Mozambique,19909,15777.0,801590.0,12.646685430000002
Papua New Guinea,31362,26595.0,462840.0,12.3092298
